🕘️更新时间,#genre#
2026-07-07 19:32:38,http://60.4.29.80:8077/rtp/239.253.92.219:6228

📺央视频道,#genre#
CCTV-4K,http://60.4.29.80:8077/rtp/239.253.92.219:6228
CCTV-4K,http://101.35.240.114:88/live.php?id=CCTV4K
CCTV-4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1783472400-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-c831c3e2b33928e18bd951f3caf1f24b&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV-8K,http://107.150.52.50:82/live/cctv8k.m3u8
CCTV-1 综合,http://222.95.12.2:4022/rtp/239.49.8.19:9614
CCTV-1 综合,http://222.128.26.62:4001/rtp/239.3.1.129:8008
CCTV-1 综合,http://182.135.66.163:18888/rtp/239.94.0.31:5140
CCTV-2 财经,http://221.219.104.6:1193/rtp/239.3.1.60:8084
CCTV-2 财经,http://222.95.12.2:4022/rtp/239.49.8.50:9802
CCTV-2 财经,http://222.128.26.62:4001/rtp/239.3.1.60:8084
CCTV-3 综艺,http://221.219.104.6:1193/rtp/239.3.1.172:8001
CCTV-3 综艺,http://183.220.20.17:4321/rtp/239.11.0.101:5140
CCTV-3 综艺,http://58.37.29.210:9001/rtp/233.18.204.69:5140
CCTV-4 中文国际,http://183.220.20.17:4321/rtp/239.11.0.109:5140
CCTV-4 中文国际,http://182.135.66.163:1888/rtp/239.94.0.4:5140
CCTV-4 中文国际,http://182.135.66.163:18888/rtp/239.94.0.4:5140
CCTV-5 体育,http://182.135.66.163:18888/rtp/239.94.0.5:5140
CCTV-5 体育,http://182.135.66.163:18888/rtp/239.94.0.33:5140
CCTV-5 体育,http://182.135.66.163:1888/rtp/239.94.0.33:5140
CCTV-5+ 体育赛事,http://221.219.104.6:1193/rtp/239.3.1.130:8004
CCTV-5+ 体育赛事,http://218.94.90.74:57585/rtp/239.49.8.18:9610
CCTV-5+ 体育赛事,http://183.47.2.156:16883/udp/239.77.1.31:5146
CCTV-6 电影,http://183.47.2.156:16883/udp/239.77.0.171:5146
CCTV-6 电影,http://58.37.29.210:9001/rtp/233.18.204.72:5140
CCTV-6 电影,http://183.222.15.202:4321/rtp/239.11.0.102:5140
CCTV-7 国防军事,http://183.47.2.156:16883/udp/239.77.0.138:5146
CCTV-7 国防军事,http://222.95.12.2:4022/rtp/239.49.0.126:8000
CCTV-7 国防军事,http://221.219.104.6:1193/rtp/239.3.1.61:8104
CCTV-8 电视剧,http://221.219.104.6:1193/rtp/239.3.1.175:8001
CCTV-8 电视剧,http://222.128.26.62:4001/rtp/239.3.1.175:8001
CCTV-8 电视剧,http://1.192.245.143:8188/rtp/239.16.20.8:10080
CCTV-9 纪录,http://183.222.15.202:4321/rtp/239.11.0.111:5140
CCTV-9 纪录,http://221.219.104.6:1193/rtp/239.3.1.62:8112
CCTV-9 纪录,http://183.220.20.17:4321/rtp/239.11.0.111:5140
CCTV-10 科教,http://221.219.104.6:1193/rtp/239.3.1.63:8116
CCTV-10 科教,http://183.220.20.17:4321/rtp/239.11.0.112:5140
CCTV-10 科教,http://222.95.12.2:4022/rtp/239.49.8.54:9818
