央视频道,#genre#
CCTV-1,https://cc05.tv12.xyz/1.m3u8
CCTV-2,https://cc05.tv12.xyz/2.m3u8
CCTV-3,https://cc05.tv12.xyz/3.m3u8
CCTV-4,https://cc05.tv12.xyz/4.m3u8
CCTV-5,https://cc05.tv12.xyz/5.m3u8
CCTV5+,https://cc05.tv12.xyz/6.m3u8
CCTV-6,https://cc05.tv12.xyz/7.m3u8
CCTV-7,https://cc05.tv12.xyz/8.m3u8
CCTV-8,https://cc05.tv12.xyz/9.m3u8
CCTV-9,https://cc05.tv12.xyz/10.m3u8
CCTV-10,https://cc05.tv12.xyz/11.m3u8
CCTV-11,https://cc05.tv12.xyz/12.m3u8
CCTV-12,https://cc05.tv12.xyz/13.m3u8
CCTV-13,https://cc05.tv12.xyz/14.m3u8
CCTV-14,https://cc05.tv12.xyz/15.m3u8
CCTV-15,https://cc05.tv12.xyz/16.m3u8
CCTV-16,https://cc05.tv12.xyz/17.m3u8
CCTV-17,https://cc05.tv12.xyz/18.m3u8
新闻频道,https://cc05.tv12.xyz/19.m3u8
纪录频道,https://cc05.tv12.xyz/20.m3u8
西班牙语频道,https://cc05.tv12.xyz/21.m3u8
法语频道,https://cc05.tv12.xyz/22.m3u8
阿拉伯语频道,https://cc05.tv12.xyz/23.m3u8
俄语频道,https://cc05.tv12.xyz/24.m3u8
纯享4K,https://cc05.tv12.xyz/25.m3u8
卫视频道,#genre#
广西卫视,https://cc05.tv12.xyz/26.m3u8
湖南卫视,https://cc05.tv12.xyz/27.m3u8
浙江卫视,https://cc05.tv12.xyz/28.m3u8
天津卫视,https://cc05.tv12.xyz/29.m3u8
东方卫视,https://cc05.tv12.xyz/30.m3u8
江苏卫视,https://cc05.tv12.xyz/31.m3u8
北京卫视,https://cc05.tv12.xyz/32.m3u8
广东卫视,https://cc05.tv12.xyz/33.m3u8
珠江卫视,https://cc05.tv12.xyz/34.m3u8
大湾区卫视,https://cc05.tv12.xyz/35.m3u8
深圳卫视,https://cc05.tv12.xyz/36.m3u8
山东卫视,https://cc05.tv12.xyz/37.m3u8
湖北卫视,https://cc05.tv12.xyz/38.m3u8
安徽卫视,https://cc05.tv12.xyz/39.m3u8
东南卫视,https://cc05.tv12.xyz/40.m3u8
江西卫视,https://cc05.tv12.xyz/41.m3u8
四川卫视,https://cc05.tv12.xyz/42.m3u8
贵州卫视,https://cc05.tv12.xyz/43.m3u8
重庆卫视,https://cc05.tv12.xyz/44.m3u8
海南卫视,https://cc05.tv12.xyz/45.m3u8
河北卫视,https://cc05.tv12.xyz/46.m3u8
河南卫视,https://cc05.tv12.xyz/47.m3u8
辽宁卫视,https://cc05.tv12.xyz/48.m3u8
黑龙江卫视,https://cc05.tv12.xyz/49.m3u8
甘肃卫视,https://cc05.tv12.xyz/50.m3u8
青海卫视,https://cc05.tv12.xyz/51.m3u8
山西卫视,https://cc05.tv12.xyz/52.m3u8
云南卫视,https://cc05.tv12.xyz/53.m3u8
