CCTV-4 中文国际欧洲,rtp://239.3.1.213:4220
CCTV-4 中文国际美洲,rtp://239.3.1.214:4220
北京卫视,rtp://239.3.1.22:8001
北京文艺,rtp://239.3.1.242:8000
体育休闲,rtp://239.3.1.243:8000
北京影视,rtp://239.3.1.158:8000
北京新闻,rtp://239.3.1.159:8000
北京财经,rtp://239.3.1.116:8000
北京生活,rtp://239.3.1.117:8000
北京国际,rtp://239.3.1.235:8000
纪实科教,rtp://239.3.1.115:8000
卡酷少儿,rtp://239.3.1.189:8000
东方卫视,rtp://239.3.1.119:3006
河南卫视,rtp://239.3.1.50:8184
湖北卫视,rtp://239.3.1.138:8044
贵州卫视,rtp://239.3.1.149:8076
辽宁卫视,rtp://239.3.1.210:8056
黑龙江卫视,rtp://239.3.1.133:8016
吉林卫视,rtp://239.3.1.240:8172
西藏卫视,rtp://239.3.1.166:8188
兵团卫视,rtp://239.3.1.168:8196
CGTN英语,rtp://239.3.1.215:4220
CGTN纪录,rtp://239.3.1.216:4220
CGTN西语,rtp://239.3.1.217:4220
CGTN法语,rtp://239.3.1.218:4220
CGTN阿语,rtp://239.3.1.219:4220
CGTN俄语,rtp://239.3.1.220:4220
中国教育,rtp://239.3.1.57:8152
中国交通,rtp://239.3.1.188:8001
中国天气,rtp://239.3.1.165:8001
四海钓鱼,rtp://239.3.1.164:8001
金鹰纪实,rtp://239.3.1.58:8156
证券服务,rtp://239.3.1.24:8001
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩青少,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
爱上4K,rtp://239.3.1.236:2000
4K超清,rtp://239.3.1.249:8001
城市剧场,rtp://239.3.1.67:4120
军旅剧场,rtp://239.3.1.68:4120
古装剧场,rtp://239.3.1.69:4120
精选高清,rtp://239.3.1.74:4120
武侠剧场,rtp://239.3.1.90:4120
喜剧影院,rtp://239.3.1.91:4120
,动作影院,rtp://239.3.1.92:4120
家庭影院,rtp://239.3.1.93:4120
星影高清,rtp://239.3.1.94:4120
光影高清,rtp://239.3.1.84:4120
经典电影,rtp://239.3.1.195:9024
group-title="数字" zz-definition="HD",重温经典,rtp://239.3.1.25:8001
热播剧场,rtp://239.3.1.194:9020
魅力时尚,rtp://239.3.1.196:9012
少儿动画,rtp://239.3.1.199:9000
动画高清,rtp://239.3.1.80:4120
北京卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东方卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0uh4lyjjBCCN7TCq21vSIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
辽宁卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226966/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E6qJH8Fd-zgCGx3P-Ce86cA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
黑龙江卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226965/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7UiKL56-L86ihmTWaZ6csw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
吉林卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227015/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EW5-3AVdwD5KlUpuA4mz7Cg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
湖北卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226952/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EREB40lnZnCEwjRy7LZuhIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
