🕘️更新时间,#genre#
2026-04-22 17:16:26,http://pull-hls-f11.douyincdn.com/media/stream-695683994431259308.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1777176151&major_anchor_level=common&sign=1beca98d0af6c301ab2f39824a583d47&t_id=037-20260419120230BE2BFC68C458B9008A7A-L9bZ4N

📺央视频道,#genre#
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695683994431259308.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1777176151&major_anchor_level=common&sign=1beca98d0af6c301ab2f39824a583d47&t_id=037-20260419120230BE2BFC68C458B9008A7A-L9bZ4N
CCTV-14,https://t.freetv.fun/live/cctv14shao-er-1.php

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
重庆卫视,http://43.156.8.127:5050/ysp?id=2024061103&pid=600002531&q=fhd
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi-1.php
甘肃卫视,https://t.freetv.fun/live/gan-su-wei-shi.php
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-13.php
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.php
山西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-1.php
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-4.php
天津卫视,https://t.freetv.fun/live/tian-jin-wei-shi-3.php

☘️广东频道,#genre#
